Species,Number,Status,Date,Julian,Survey,Session,Occasion,AgeSex,ReproSex,Juvenile,Male,CL,PL,Mass,TL,PV,MissingFoot,Mark,Mark_Notes,Calipers,Location,Coords,Coords,Time,Parasites,Notes
Rhinoclemmys funerea,121,new,24-Feb-14,41694,Yes,A,18,M,M,0,1,29.9,25.9,3500,,,0,"LM1,12; RM2","1,12 LM; 2 RM",0,20 m downstream from final area,,,1311,,Hiding in deep leaf litter muck in shallows near shore
Rhinoclemmys funerea,121,recap,5-Sep-14,41887,Yes,,,M,M,0,1,29.2,25.5,3400,,,0,"LM1,12; RM2","1,12 LM; 2 RM",1,,10.43243,-84.01725,1557,,
Rhinoclemmys funerea,121,recap,29-Sep-14,41911,Yes,,,M,M,0,1,29.1,25.5,3450,,,0,"LM1,12; RM2","1,12 LM; 2 RM",1,"Surá, 20 m upstream from deep hole",10.43274,-84.01685,,,
Rhinoclemmys funerea,121,recap,30-Sep-14,41912,Yes,,,M,M,0,1,,,,,,0,"LM1,12; RM2","1,12 LM; 2 RM",1,Quebrada Surá at Honey Hole,10.43219,-84.01623,1423,,
Rhinoclemmys funerea,122,new,28-Feb-14,41698,Yes,A,19,M,M,0,1,25.8,22.2,2400,,,0,"LM2,12; RM2","2,12 LM; 2 RM",0,Quebrada Sura at Honey Hole SAT 345,10.43219,-84.01623,1444,,"Perched in shallows near shore, captured by hand"
Rhinoclemmys funerea,200,new,10-Feb-14,41680,Yes,A,14,M,M,0,1,29.2,25.4,3100,,,0,LM11,11 LM,0,Deep hole upstream from Honey Hole,10.4326,-84.0168,,,
Rhinoclemmys funerea,201,new,28-Feb-14,41698,Yes,A,19,F,F,0,0,28.2,26.6,3400,,,0,"LM1,11","1,11 LM",0,Quebrada Sura at Honey Hole SAT 345,10.43219,-84.01623,1444,,"Perched in shallows near shore, captured by hand"
Rhinoclemmys funerea,300,new,28-Feb-14,41698,Yes,A,19,M,M,0,1,29.8,25.8,3350,,,0,"LM11,12","11,12 LM",0,"Quebrada Sura, in deep hole n SAT 400 ",,,1524,,Casually swimming; noodled under a log
Rhinoclemmys funerea,300,recap,29-Sep-14,41911,Yes,,,M,M,0,1,28.8,26.0,3350,,,0,"LM11,12","11,12 LM",1,"Surá, 20 m upstream from deep hole",10.43274,-84.01685,,,
Rhinoclemmys funerea,300,recap,13-Jun-15,42168,Yes,,,M,M,0,1,28.9,26.0,,,,0,"LM11,12","11,12 LM",1,In between the two bends downstream from the Honey Hole,,,1624,,Swimming
Rhinoclemmys funerea,303,new,13-Jun-15,42168,Yes,,,J,JF,1,0,20.6,19.0,,,,0,"LM1,2,11,12","1,2,11,12 LM",1,Honey Hole,10.43219,-84.01623,1630,,"Probably best to classify as juvenile; had a flat plastron, but maybe too small to develop concavity of plastron, so, probably best to classify as J"
Rhinoclemmys funerea,1000,new,8-Feb-14,41678,Yes,A,13,M,M,0,1,26.6,23.3,2600,,,0,RM12,12 RM,0,Quebrada Sura at Honey Hole SAT 345,10.43219,-84.01623,1350,,"Chilling in shallows near shore, captured by hand"
Rhinoclemmys funerea,1000,recap,10-Sep-14,41892,Yes,,,M,M,0,1,26.2,23.2,2625,,,0,RM12,12 RM,1,,10.43273,-84.01506,1352,,
Rhinoclemmys funerea,1000,recap,30-Sep-14,41912,Yes,,,M,M,0,1,26.2,23.2,2800,,,0,RM12,12 RM,1,Quebrada Sura at Honey Hole SAT 345,10.43219,-84.01623,1423,,
Rhinoclemmys funerea,4040,new,13-Jun-15,42168,Yes,,,J,J,1,0,14.5,13.3,,35.0,16.0,0,"RM4,10","4,10 RM",1,Quebrada Sura at Honey Hole SAT 345,10.43219,-84.01623,1423,,
Rhinoclemmys funerea,12015,new,24-Feb-14,41694,Yes,A,18,M,M,0,1,26.6,23.3,,,,1,"LM1,2,3,4,8,9; RM7,8,9,10","1,2,3,4,8,9 LM; 7,8,9,10 RM",0,"Quebrada Surá, 20 m upstream from deep hole",,,1310,,"Casually swimming. Right back leg stump. Numerous shell notchings and deformities, stump tail, plastron with scattered pocketed deformities. Crocodilian attack? If I add up the marks on LM1-4,9-12 and RM1-4,9-12, the shell adds up to #12015"
Chelydra acutirostris,,,12-Jun-15,42167,Yes,,,F,F,0,0,32.0,,,,,0,NA,NA,1,"Quebrada Surá, at little shitty wooden bridge",,,,,
